NSta=1;NSta=2;NSta=3;NSta=4;NSta=5;NSta=6;NSta=7;NSta=8;NSta=9;NSta=10;NSta=11;NSta=12
6,11E-08;6,42E-08;1,93E-07;6,74E-08;6,44E-08;6,29E-08;1,14E-06;3,42E-07;7,16E-07;1,66E-06;9,71E-07;2,15E-05
6,63E-08;6,36E-08;6,81E-08;4,18E-07;6,06E-08;6,49E-08;6,28E-08;8,95E-08;9,16E-07;3,41E-07;1,65E-07;1,82E-06
6,01E-08;6,33E-08;6,75E-08;6,35E-08;4,39E-07;4,47E-07;4,78E-07;4,97E-07;6,11E-08;5,66E-06;1,97E-05;5,83E-06
6,83E-08;6,57E-08;6,30E-08;2,40E-07;1,40E-07;4,53E-07;2,46E-07;2,67E-07;2,31E-06;6,46E-08;2,01E-07;1,65E-06
6,52E-08;3,72E-07;1,97E-07;2,97E-07;6,67E-08;1,78E-07;1,35E-06;1,79E-07;6,97E-07;3,50E-07;2,14E-06;9,71E-07
6,74E-08;6,47E-08;6,32E-08;6,24E-08;6,28E-08;6,11E-08;3,35E-07;2,28E-07;7,41E-08;5,99E-07;2,61E-06;1,10E-06
6,42E-08;6,44E-08;6,57E-08;6,77E-08;3,07E-06;6,81E-08;3,20E-07;6,55E-08;7,14E-08;5,04E-06;6,00E-08;9,66E-08
6,10E-08;1,72E-07;6,51E-08;6,10E-08;6,40E-08;6,10E-08;5,47E-07;6,20E-08;7,48E-08;6,70E-08;9,41E-08;8,53E-07
6,02E-08;6,04E-08;9,36E-08;8,28E-08;6,79E-08;6,75E-08;6,87E-08;1,46E-07;1,23E-05;1,52E-06;6,67E-07;7,70E-07
6,30E-08;6,01E-08;6,61E-08;6,31E-08;3,72E-07;6,14E-08;6,40E-08;5,35E-07;9,00E-08;8,82E-08;2,06E-06;6,29E-08
6,82E-08;6,55E-08;6,38E-08;6,89E-08;6,51E-08;6,34E-08;6,15E-08;3,10E-07;9,13E-08;1,37E-05;2,58E-06;2,62E-06
6,51E-08;6,81E-08;6,03E-08;1,34E-07;6,53E-08;8,93E-08;6,15E-08;1,43E-07;1,00E-07;6,37E-06;7,75E-07;6,16E-08
6,13E-08;6,15E-08;6,18E-08;6,60E-08;1,52E-07;1,30E-07;1,40E-07;3,57E-06;1,70E-06;8,75E-08;2,50E-06;8,56E-06
6,71E-08;6,12E-08;6,42E-08;2,15E-07;3,63E-07;1,45E-07;3,84E-07;2,61E-07;7,62E-07;1,35E-06;8,28E-07;1,06E-06
6,33E-08;3,02E-07;7,70E-08;1,27E-07;6,54E-08;1,02E-07;1,46E-07;1,46E-07;7,93E-07;1,36E-05;2,47E-06;6,42E-08
2,67E-07;6,02E-08;6,44E-08;6,82E-07;3,64E-07;2,56E-07;1,59E-07;1,15E-06;6,42E-08;3,51E-06;1,11E-06;1,02E-05
6,53E-08;6,26E-08;6,89E-08;6,62E-08;6,87E-07;1,75E-07;4,46E-07;6,54E-08;8,39E-06;9,94E-07;9,28E-08;4,48E-07
6,21E-08;6,23E-08;3,23E-07;6,85E-08;6,65E-08;6,70E-08;4,97E-07;6,20E-08;1,32E-07;3,43E-06;3,96E-07;0,000110165
6,73E-08;6,16E-08;6,31E-08;6,23E-08;6,16E-08;6,09E-08;6,19E-08;7,76E-08;1,44E-07;7,23E-07;3,05E-06;1,67E-05
6,11E-08;6,13E-08;6,26E-08;6,46E-08;2,87E-07;6,19E-08;6,22E-08;5,36E-07;3,43E-06;4,51E-07;2,93E-07;3,91E-07
6,03E-08;6,37E-08;6,70E-08;6,24E-08;6,37E-08;6,63E-08;1,43E-07;2,00E-07;9,22E-07;5,95E-07;1,69E-06;1,71E-06
6,62E-08;6,63E-08;7,58E-07;8,77E-08;6,57E-08;2,48E-07;6,34E-08;3,87E-07;4,17E-06;9,34E-08;1,61E-07;7,58E-07
6,84E-08;6,27E-08;6,72E-08;6,35E-08;6,28E-08;8,32E-08;9,37E-08;5,25E-07;8,35E-07;6,68E-08;7,57E-07;2,36E-06
6,52E-08;6,24E-08;6,07E-08;6,88E-08;6,90E-08;1,06E-06;1,35E-07;8,85E-08;2,89E-07;1,84E-07;9,81E-07;8,65E-08
6,20E-08;2,24E-07;6,02E-08;8,01E-08;6,21E-08;6,21E-08;9,85E-08;1,28E-07;8,87E-06;1,28E-06;3,37E-06;9,82E-08
1,33E-07;6,74E-08;2,69E-07;1,70E-07;1,31E-07;4,95E-07;9,98E-08;6,77E-08;1,36E-07;8,42E-08;1,36E-06;2,51E-07
6,40E-08;6,71E-08;6,11E-08;6,42E-08;8,11E-08;6,95E-08;1,44E-07;1,22E-06;2,53E-06;5,01E-07;4,43E-07;7,02E-07
6,02E-08;6,35E-08;1,40E-07;6,10E-08;6,72E-08;6,54E-08;9,23E-08;6,69E-08;1,01E-07;6,73E-08;2,57E-06;1,17E-06
6,61E-08;6,61E-08;6,43E-08;6,03E-08;6,73E-08;4,39E-07;6,06E-08;1,34E-07;1,61E-07;1,01E-07;9,34E-05;4,72E-06
6,23E-08;6,85E-08;6,58E-08;6,31E-08;5,34E-07;6,28E-08;6,19E-08;1,05E-06;8,70E-08;9,03E-06;1,62E-07;4,01E-06
6,81E-08;6,82E-08;6,83E-08;2,16E-07;5,54E-07;6,88E-08;6,41E-08;9,66E-07;1,34E-07;7,36E-07;8,66E-06;5,08E-06
6,43E-08;3,89E-07;2,52E-07;2,28E-07;6,74E-08;2,05E-07;6,74E-08;7,53E-08;2,07E-07;8,68E-08;2,91E-06;2,38E-06
6,71E-08;6,72E-08;6,85E-08;6,14E-08;6,16E-08;6,17E-08;6,34E-08;2,29E-07;8,15E-07;3,67E-07;7,71E-07;7,09E-07
6,63E-08;6,06E-08;6,39E-08;6,72E-08;6,54E-08;6,11E-08;9,22E-08;6,55E-08;1,03E-07;7,01E-07;6,50E-08;1,12E-06
6,31E-08;2,58E-07;6,34E-08;6,05E-08;6,75E-08;6,21E-08;6,89E-08;1,02E-07;6,36E-08;7,90E-08;1,67E-07;1,65E-07
8,63E-08;6,87E-08;1,30E-07;1,62E-07;8,77E-08;7,40E-08;6,42E-08;6,16E-08;6,13E-05;1,70E-06;2,04E-07;5,78E-06
6,22E-08;6,83E-08;6,66E-08;6,56E-08;6,08E-08;6,69E-08;6,75E-08;6,89E-07;1,25E-06;1,49E-06;6,28E-08;3,20E-06
6,14E-08;6,17E-08;8,91E-08;6,34E-08;6,17E-08;6,54E-08;6,78E-08;4,20E-07;7,81E-07;9,62E-08;5,44E-06;2,90E-06
6,72E-08;6,44E-08;6,75E-08;4,07E-07;6,38E-08;1,33E-07;6,51E-08;4,47E-07;6,94E-07;8,70E-08;6,16E-08;1,68E-06
6,10E-08;6,40E-08;6,70E-08;6,10E-08;9,79E-08;1,80E-07;3,88E-07;8,35E-07;3,56E-06;1,21E-06;6,80E-08;1,01E-07
6,62E-08;6,04E-08;6,47E-08;2,68E-07;1,34E-07;2,23E-07;3,90E-07;1,44E-07;9,73E-07;9,70E-06;5,46E-07;1,32E-06
6,30E-08;3,13E-07;2,17E-07;2,07E-07;6,01E-08;2,47E-07;1,47E-06;2,09E-07;3,44E-07;7,85E-08;1,30E-06;3,88E-06
2,52E-07;6,55E-08;6,27E-08;6,89E-08;6,00E-08;2,19E-07;2,31E-07;1,46E-07;7,91E-07;6,90E-08;2,25E-06;6,93E-08
6,51E-08;6,51E-08;6,52E-08;6,52E-08;5,12E-07;2,12E-07;6,54E-08;6,64E-08;1,39E-06;1,33E-07;3,28E-07;9,93E-07
6,13E-08;1,07E-07;6,89E-08;6,20E-08;6,03E-08;6,15E-08;5,41E-07;6,70E-08;1,44E-06;1,47E-06;1,20E-05;7,36E-08
6,71E-08;6,41E-08;8,64E-08;7,03E-08;6,44E-08;6,15E-08;6,87E-08;1,41E-07;1,01E-07;6,19E-07;3,90E-06;6,42E-08
6,33E-08;6,66E-08;6,08E-08;6,41E-08;5,29E-07;6,19E-08;6,70E-08;5,14E-07;6,64E-08;1,33E-06;9,66E-05;5,90E-06
6,01E-08;6,62E-08;6,33E-08;6,64E-08;6,15E-08;6,78E-08;7,54E-07;4,03E-07;2,49E-06;8,99E-07;3,69E-05;
6,53E-08;6,56E-08;6,40E-08;3,00E-07;6,15E-08;2,17E-07;8,95E-08;8,71E-07;8,08E-07;1,22E-06;2,84E-06;
7,39E-08;9,74E-08;1,05E-07;1,29E-07;2,15E-07;1,57E-07;2,51E-07;3,89E-07;2,62E-06;1,91E-06;6,59E-06;5,03E-06