;2Mbps-MCS6;2Mbps-MCS9;5Mbps-MCS6;5Mbps-MCS9;8Mbps-MCS6;8Mbps-MCS9;;;2Mbps-MCS6;2Mbps-MCS9;5Mbps-MCS6;5Mbps-MCS9;8Mbps-MCS6;8Mbps-MCS9;;;
1;7,76E-08;6,55E-08;8,23E-08;7,39E-08;9,15E-08;7,44E-08;;1;7,76E-02;6,55E-02;8,23E-02;7,39E-02;9,15E-02;7,44E-02;;;
2;8,52E-08;7,09E-08;0,000000107;9,74E-08;0,000000109;8,52E-08;;2;8,52E-02;7,09E-02;1,07E-01;9,74E-02;1,09E-01;8,52E-02;;;
3;0,000000089;0,000000075;0,000000111;0,000000105;0,000000127;9,33E-08;;3;8,90E-02;7,50E-02;1,11E-01;1,05E-01;1,27E-01;9,33E-02;;;
4;9,21E-08;7,62E-08;0,000000148;0,000000129;0,000000218;0,00000026;;4;9,21E-02;7,62E-02;1,48E-01;1,29E-01;2,18E-01;2,60E-01;;;
5;1,13E-07;1,02E-07;0,00000021;0,000000215;0,000000867;0,000000328;;5;1,13E-01;1,02E-01;2,10E-01;2,15E-01;8,67E-01;3,28E-01;;;
6;0,000000126;9,26E-08;0,000000226;0,000000157;0,00000238;0,000000637;;6;1,26E-01;9,26E-02;2,26E-01;1,57E-01;2,38E+00;6,37E-01;;;
7;0,000000122;0,000000107;0,000000432;0,000000251;0,00000364;0,0000015;;7;1,22E-01;1,07E-01;4,32E-01;2,51E-01;3,64E+00;1,50E+00;;;
8;0,000000125;0,000000105;0,00000109;0,000000389;0,00000325;0,00000179;;8;1,25E-01;1,05E-01;1,09E+00;3,89E-01;3,25E+00;1,79E+00;;;
9;0,000000171;0,00000012;0,00000305;0,00000262;0,0000111;0,00000695;;9;1,71E-01;1,20E-01;3,05E+00;2,62E+00;1,11E+01;6,95E+00;;;
10;0,000000171;0,000000153;0,00000369;0,00000191;0,00000644;0,00000486;;10;1,71E-01;1,53E-01;3,69E+00;1,91E+00;6,44E+00;4,86E+00;;;
11;0,000000177;0,000000128;0,00000553;0,00000659;0,00000368;0,0000116;;11;1,77E-01;1,28E-01;5,53E+00;6,59E+00;3,68E+00;1,16E+01;;;
12;0,000000184;0,000000249;0,0000126;0,00000503;;;;12;1,84E-01;2,49E-01;1,26E+01;5,03E+00;;;;;
13;0,000000478;0,000000562;;;;;;13;4,78E-01;5,62E-01;;;;;;;
14;0,000000225;0,000000171;;;;;;14;2,25E-01;1,71E-01;;;;;;;
15;0,000000237;0,000000236;;;;;;15;2,37E-01;2,36E-01;;;;;;;
16;0,000000444;0,000000382;;;;;;16;4,44E-01;3,82E-01;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Mean;7,76E-08;8,52E-08;8,90E-08;9,21E-08;1,13E-07;1,26E-07;1,22E-07;1,25E-07;1,71E-07;1,71E-07;1,77E-07;1,84E-07;4,78E-07;2,25E-07;2,37E-07;4,44E-07
;;6,55E-08;7,09E-08;7,50E-08;7,62E-08;1,02E-07;9,26E-08;1,07E-07;1,05E-07;1,20E-07;1,53E-07;1,28E-07;2,49E-07;5,62E-07;1,71E-07;2,36E-07;3,82E-07
;;8,23E-08;1,07E-07;1,11E-07;1,48E-07;2,10E-07;2,26E-07;4,32E-07;1,09E-06;3,05E-06;3,69E-06;5,53E-06;1,26E-05;;;;
;;7,39E-08;9,74E-08;1,05E-07;1,29E-07;2,15E-07;1,57E-07;2,51E-07;3,89E-07;2,62E-06;1,91E-06;6,59E-06;5,03E-06;;;;
;;9,15E-08;1,09E-07;1,27E-07;2,18E-07;8,67E-07;2,38E-06;3,64E-06;3,25E-06;1,11E-05;6,44E-06;3,68E-06;;;;;
;;7,44E-08;8,52E-08;9,33E-08;2,60E-07;3,28E-07;6,37E-07;1,50E-06;1,79E-06;6,95E-06;4,86E-06;1,16E-05;;;;;
;;;;;;;;;;;;;;;;;
;Max;;;;;;;;;;;;;;;;