NSta=9;NSta=12;NSta=15;NSta=18
2,08E-06;7,88E-08;4,04E-07;2,80E-07
1,90E-07;1,87E-07;2,54E-06;7,85E-08
1,52E-07;2,66E-06;7,39E-06;1,67E-06
5,45E-07;4,19E-06;3,27E-06;1,12E-05
4,54E-07;4,58E-07;4,65E-06;3,98E-06
1,10E-05;3,50E-06;2,27E-05;8,51E-08
2,09E-06;8,21E-08;5,31E-06;6,30E-06
9,68E-05;6,07E-08;3,16E-05;2,81E-05
5,63E-07;1,86E-06;3,36E-06;0,000162341
1,44E-06;7,67E-08;4,53E-06;1,68E-05
1,42E-07;8,35E-07;5,54E-07;1,10E-06
3,97E-06;1,53E-06;2,32E-05;4,02E-05
1,09E-05;7,55E-08;4,09E-07;1,43E-06
8,88E-08;6,28E-05;2,68E-07;1,89E-06
6,43E-08;1,11E-05;0,000130975;2,63E-06
2,96E-06;2,05E-07;3,22E-07;1,47E-07
6,48E-07;1,43E-07;3,45E-06;7,40E-06
3,50E-07;7,74E-07;7,32E-06;3,35E-06
1,13E-05;4,44E-06;1,12E-05;3,76E-07
6,12E-08;7,29E-07;3,17E-06;2,17E-06
3,10E-06;7,36E-06;2,42E-05;4,92E-06
1,56E-06;1,35E-07;3,86E-06;2,81E-06
6,81E-08;9,65E-07;4,70E-06;6,65E-06
2,46E-05;1,29E-06;4,48E-05;7,03E-07
2,65E-05;2,88E-07;5,28E-06;1,37E-06
1,07E-06;2,89E-06;2,28E-06;2,04E-05
9,42E-07;3,35E-05;8,21E-07;7,29E-05
7,59E-08;8,74E-07;1,70E-05;0,000226871
1,33E-06;1,50E-06;5,14E-06;9,04E-07
7,43E-08;1,48E-05;5,45E-07;4,18E-06
2,66E-06;1,02E-05;2,05E-07;2,45E-06
7,16E-08;1,89E-07;2,01E-06;6,37E-08
6,68E-07;1,61E-06;1,27E-07;7,17E-05
1,97E-06;7,01E-08;4,85E-06;8,72E-06
4,96E-06;1,16E-06;1,07E-05;3,40E-05
7,18E-08;1,89E-05;1,64E-05;1,29E-06
7,58E-07;4,77E-06;4,98E-06;1,73E-06
4,90E-07;5,29E-07;8,16E-08;1,89E-05
2,91E-06;1,62E-07;4,51E-06;6,34E-06
3,68E-06;4,04E-05;0,000147873;
8,18E-07;2,99E-06;1,49E-06;
9,69E-07;2,27E-05;6,37E-08;
5,02E-07;1,61E-07;2,11E-06;
7,68E-07;5,12E-05;2,32E-06;
2,33E-06;6,17E-06;2,32E-05;
1,37E-07;3,29E-06;;
1,07E-06;3,51E-06;;
9,00E-08;2,77E-05;;
8,97E-08;;;
4,70E-06;7,40E-06;1,32E-05;2,00E-05