;2Mbps-MCS6;2Mbps-MCS9;5Mbps-MCS6;5Mbps-MCS9;8Mbps-MCS6;8Mbps-MCS9;;;;2Mbps-MCS6;2Mbps-MCS9;5Mbps-MCS6;5Mbps-MCS9;8Mbps-MCS6;8Mbps-MCS9
1;0,037672627;0,033941067;0,072567639;0,063248479;0,10746213;0,092555641;;;1;69,01562771;76,60336665;35,82864257;41,1077079;24,19456975;28,09121056
4;0,052819883;0,044981714;0,110379545;0,09079524;0,16798319;0,13662915;;;4;49,22388791;57,80126564;23,55508894;28,63586241;15,47773917;19,02961411
7;0,06795838;0,05600165;0,15987046;0,127824255;0,18815617;0,166055625;;;7;38,2587107;46,42720348;16,26316707;20,34042757;13,81830848;15,65740396
10;0,09474851;0,075230235;0,167659175;0,1481148;0,15017822;0,13455842;;;10;27,44106477;34,56057262;15,50765116;17,55395139;17,31276346;19,32246232
13;0,09830412;0,0780529;0,134631595;0,12247148;0,12448885;0,114673515;;;13;26,44853542;33,31074182;19,31196017;21,22943235;20,8854046;22,67306448
16;0,114017285;0,08968391;0,11358099;0,10518918;0,1095712;0,101732005;;;16;22,80356;28,99070747;22,89115458;24,71737112;23,72886306;25,5573455
19;0,13157669;0,100920385;0,09950408;0,094304385;0,09833525;0,09406719;;;19;19,76033901;25,7628823;26,12958182;27,57029803;26,44016261;27,63981788
22;0,12853012;0,1182426;0,09045635;0,08695858;0,09100705;0,08758624;;;22;20,22872149;21,98869105;28,74314517;29,89929228;28,56921524;29,68502815
25;0,09576595;0,09239937;0,0846432;0,083733415;0,0852248;0,083376435;;;25;27,14952444;28,13871999;30,71717515;31,05092513;30,50755179;31,18387108
28;0,08236085;0,07848025;0,08207245;0,0801117;0,0829801;0,082049475;;;28;31,56839688;33,1293542;31,67932723;32,45468515;31,33281353;31,68819788
31;0,07735465;0,0747628;0,0816465;0,08078321;0,082487;0,08166443;;;31;33,61142478;34,77665363;31,84459836;32,18490575;31,52011832;31,83760665
34;0,07664665;0,07464885;0,08031925;0,079747785;0,08149695;0,08052848;;;34;33,92190004;34,82973951;32,3708202;32,6027864;31,90303441;32,28671397
37;0,07660495;0,0756046;0,08091715;0,080018935;0,081694;0,081311055;;;37;33,94036547;34,38944191;32,13163093;32,49230948;31,8260827;31,97597178
40;0,0780127;0,076936875;0,0810011;0,080184605;0,0766402;0,08123231;;;40;33,32790687;33,79393821;32,09832953;32,42517688;33,92475489;32,00696866
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;224640;;20;;;
;;;;;;;;;;Capacity (J);;SimTime (S);;;