;2Mbps-MCS6;2Mbps-MCS9;5Mbps-MCS6;5Mbps-MCS9;8Mbps-MCS6;8Mbps-MCS9
1;0,037672627;0,033941067;0,072567639;0,063248479;0,10746213;0,092555641
4;0,052819883;0,044981714;0,110379545;0,09079524;0,16798319;0,13662915
7;0,06795838;0,05600165;0,15987046;0,127824255;0,18815617;0,166055625
10;0,09474851;0,075230235;0,167659175;0,1481148;0,15017822;0,13455842
13;0,09830412;0,0780529;0,134631595;0,12247148;0,12448885;0,114673515
16;0,114017285;0,08968391;0,11358099;0,10518918;0,1095712;0,101732005
19;0,13157669;0,100920385;0,09950408;0,094304385;0,09833525;0,09406719
22;0,12853012;0,1182426;0,09045635;0,08695858;0,09100705;0,08758624
25;0,09576595;0,09239937;0,0846432;0,083733415;0,0852248;0,083376435
28;0,08236085;0,07848025;0,08207245;0,0801117;0,0829801;0,082049475
31;0,07735465;0,0747628;0,0816465;0,08078321;0,082487;0,08166443
34;0,07664665;0,07464885;0,08031925;0,079747785;0,08149695;0,08052848
37;0,07660495;0,0756046;0,08091715;0,080018935;0,081694;0,081311055
40;0,0780127;0,076936875;0,0810011;0,080184605;0,0766402;0,08123231