;2Mbps-MCS6;2Mbps-MCS9;5Mbps-MCS6;5Mbps-MCS9;8Mbps-MCS6;8Mbps-MCS9;;;2Mbps-MCS6;2Mbps-MCS9;5Mbps-MCS6;5Mbps-MCS9;8Mbps-MCS6;8Mbps-MCS9
1;1,51E-07;1,36E-07;1,16E-07;1,01E-07;1,08E-07;9,26E-08;;1;0,15;0,14;0,12;0,10;0,11;0,09
4;2,11E-07;1,80E-07;1,77E-07;1,45E-07;1,68E-07;1,37E-07;;4;0,21;0,18;0,18;0,15;0,17;0,14
7;2,72E-07;2,24E-07;2,56E-07;2,05E-07;3,21E-07;2,53E-07;;7;0,27;0,22;0,26;0,21;0,32;0,25
10;3,79E-07;3,01E-07;4,14E-07;3,10E-07;5,33E-07;4,32E-07;;10;0,38;0,30;0,41;0,31;0,53;0,43
13;3,93E-07;3,12E-07;6,64E-07;5,22E-07;8,46E-07;7,05E-07;;13;0,39;0,31;0,66;0,52;0,85;0,71
16;4,56E-07;3,59E-07;1,04E-06;8,55E-07;1,31E-06;1,13E-06;;16;0,46;0,36;1,04;0,86;1,31;1,13
19;5,26E-07;4,04E-07;1,62E-06;1,36E-06;2,00E-06;1,75E-06;;19;0,53;0,40;1,62;1,36;2,00;1,75
22;7,83E-07;5,45E-07;2,57E-06;2,28E-06;3,18E-06;2,81E-06;;22;0,78;0,55;2,57;2,28;3,18;2,81
25;1,44E-06;1,00E-06;4,12E-06;3,23E-06;4,82E-06;4,38E-06;;25;1,44;1,00;4,12;3,23;4,82;4,38
28;2,60E-06;2,04E-06;5,92E-06;5,43E-06;6,79E-06;6,28E-06;;28;2,60;2,04;5,92;5,43;6,79;6,28
31;4,40E-06;3,58E-06;8,16E-06;7,09E-06;9,06E-06;8,13E-06;;31;4,40;3,58;8,16;7,09;9,06;8,13
34;6,22E-06;5,44E-06;1,07E-05;9,66E-06;1,19E-05;1,02E-05;;34;6,22;5,44;10,70;9,66;11,90;10,20
37;9,12E-06;7,57E-06;1,30E-05;1,21E-05;1,46E-05;1,25E-05;;37;9,12;7,57;13,00;12,10;14,60;12,50
40;9,90E-06;9,09E-06;1,56E-05;1,39E-05;1,55E-05;1,49E-05;;40;9,90;9,09;15,60;13,90;15,50;14,90
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;Joules;;;;;;;;Micro-Joules;;;