NSta=1;NSta=4;NSta=7;NSta=10;NSta=13;NSta=16;NSta=19;NSta=22;NSta=25;NSta=28;NSta=31;NSta=34;NSta=37;NSta=40
7,92E-08;7,59E-08;2,26E-06;3,09E-06;9,97E-08;1,66E-05;9,73E-05;1,98E-05;3,77E-05;1,39E-05;4,49E-06;7,97E-05;8,77E-05;
7,85E-08;4,25E-07;2,39E-05;3,08E-06;1,05E-05;2,73E-06;8,12E-07;1,05E-05;8,10E-06;3,09E-05;0,000134992;;;
7,82E-08;7,57E-08;1,23E-06;2,44E-06;5,95E-07;4,69E-07;8,50E-08;9,94E-06;5,85E-05;;;;;
7,75E-08;6,88E-07;4,86E-07;3,42E-07;1,34E-06;4,38E-05;2,85E-06;2,71E-06;2,03E-06;;;;;
7,73E-08;7,79E-07;4,34E-06;1,62E-05;1,08E-07;6,23E-07;3,05E-05;2,11E-06;0,000102713;;;;;
7,66E-08;1,00E-07;1,43E-07;7,43E-08;8,01E-06;8,07E-08;8,74E-07;0,000190233;3,93E-06;;;;;
2,44E-07;3,29E-07;4,70E-05;4,88E-07;1,25E-05;1,55E-06;4,46E-05;;;;;;;
7,30E-08;8,50E-08;1,50E-06;8,10E-07;1,77E-06;2,08E-05;0,00012055;;;;;;;
7,23E-08;7,99E-08;1,58E-07;7,36E-07;2,78E-06;;;;;;;;;
9,52E-08;2,93E-07;9,00E-06;3,03E-06;4,19E-06;1,08E-05;3,72E-05;3,92E-05;3,55E-05;2,24E-05;6,97E-05;7,97E-05;8,77E-05;
;;;;;;;;;;;;;
2,44E-07;7,79E-07;4,70E-05;1,62E-05;1,25E-05;4,38E-05;1,21E-04;1,90E-04;1,03E-04;;;;;