;2Mbps-MCS6;2Mbps-MCS9;5Mbps-MCS6;5Mbps-MCS9;8Mbps-MCS6;8Mbps-MCS9;;;;;;;2Mbps-MCS6;2Mbps-MCS9;5Mbps-MCS6;5Mbps-MCS9;8Mbps-MCS6;8Mbps-MCS9
1;7,66E-08;0,000000065;7,61E-08;6,38E-08;9,52E-08;8,29E-08;;;;;;1;8,01E-08;6,81E-08;7,73E-08;6,83E-08;2,44E-07;2,20E-07
4;8,65E-08;7,35E-08;0,000000167;0,000000151;0,000000293;0,000000399;;;;;;4;1,68E-07;1,41E-07;0,000000451;0,000000418;0,000000779;0,0000017
7;0,000000118;0,000000103;0,000000356;0,000000506;0,000009;0,00000198;;;;;;7;0,000000451;0,000000406;0,00000117;0,00000135;0,000047;0,0000112
10;0,000000106;0,000000098;0,0000104;0,0000017;0,00000303;0,0000076;;;;;;10;0,000000219;0,000000204;0,0000461;0,00000566;0,0000162;0,0000218
13;9,05E-08;6,78E-08;0,00000562;0,0000054;0,00000419;0,0000116;;;;;;13;1,43E-07;1,09E-07;0,0000282;0,0000292;0,0000125;0,0000859
16;0,000000198;0,000000151;0,00000959;0,00000849;0,0000108;0,0000331;;;;;;16;0,00000086;0,000000789;0,0000377;0,0000438;0,0000438;0,000114
19;0,00000101;0,000000142;0,0000145;0,0000206;0,0000372;0,0000163;;;;;;19;0,00000656;0,00000035;0,00004;0,000105;0,000121;0,0000396
22;0,00000163;0,00000519;0,0000177;0,0000126;0,0000392;0,0000272;;;;;;22;0,00000559;0,0000272;0,0000488;0,0000355;0,00019;0,0000644
25;0,0000359;0,0000386;0,0000383;0,0000302;0,0000355;0,0000532;;;;;;25;0,00013;0,000125;0,0000493;0,000111;0,000103;0,000158
28;0,0000123;0,0000309;0,0000797;0,0000897;0,0000224;0,0000115;;;;;;;;;;;;
31;0,000028;0,0000579;0,0000325;0,0000237;0,0000697;0,0000805;;;;;;;;;;;;
34;0,0000797;0,00018;0,0000842;0,0000755;0,0000797;0,00000703;;;;;;;;;;;;
37;0,000000405;0,000115;0,000156;;0,0000877;;;;;;;;;;;;;
40;0,000182;0,000118;0,00019;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;7,66E-08;8,65E-08;1,18E-07;1,06E-07;9,05E-08;1,98E-07;1,01E-06;1,63E-06;3,59E-05;1,23E-05;2,80E-05;7,97E-05;4,05E-07;1,82E-04;;
;;;6,50E-08;7,35E-08;1,03E-07;9,80E-08;6,78E-08;1,51E-07;1,42E-07;5,19E-06;3,86E-05;3,09E-05;5,79E-05;1,80E-04;1,15E-04;1,18E-04;;
;;;7,61E-08;1,67E-07;3,56E-07;1,04E-05;5,62E-06;9,59E-06;1,45E-05;1,77E-05;3,83E-05;7,97E-05;3,25E-05;8,42E-05;1,56E-04;1,90E-04;;
;Mean;;6,38E-08;1,51E-07;5,06E-07;1,70E-06;5,40E-06;8,49E-06;2,06E-05;1,26E-05;3,02E-05;8,97E-05;2,37E-05;7,55E-05;;;;
;;;9,52E-08;2,93E-07;9,00E-06;3,03E-06;4,19E-06;1,08E-05;3,72E-05;3,92E-05;3,55E-05;2,24E-05;6,97E-05;7,97E-05;8,77E-05;;;
;;;8,29E-08;3,99E-07;1,98E-06;7,60E-06;1,16E-05;3,31E-05;1,63E-05;2,72E-05;5,32E-05;1,15E-05;8,05E-05;7,03E-06;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Max;;8,01E-08;1,68E-07;4,51E-07;2,19E-07;1,43E-07;8,60E-07;6,56E-06;5,59E-06;1,30E-04;;;;;;;
;;;6,81E-08;1,41E-07;4,06E-07;2,04E-07;1,09E-07;7,89E-07;3,50E-07;2,72E-05;1,25E-04;;;;;;;
;;;7,73E-08;4,51E-07;1,17E-06;4,61E-05;2,82E-05;3,77E-05;4,00E-05;4,88E-05;4,93E-05;;;;;;;
;;;6,83E-08;4,18E-07;1,35E-06;5,66E-06;2,92E-05;4,38E-05;1,05E-04;3,55E-05;1,11E-04;;;;;;;
;;;2,44E-07;7,79E-07;4,70E-05;1,62E-05;1,25E-05;4,38E-05;1,21E-04;1,90E-04;1,03E-04;;;;;;;
;;;2,20E-07;1,70E-06;1,12E-05;2,18E-05;8,59E-05;1,14E-04;3,96E-05;6,44E-05;1,58E-04;;;;;;;